数据集,起始年,结束年,范围,指标,数值,单位,来源,备注
特殊伤亡与暴行,1935,1945,沦陷区,“被强征/役使劳工总数（合计）”,1500,“万人”,用户文本：“1935-1945…共强征、役使中国劳工总数为1500余万人”,估计值；包含多种强征方式。
特殊伤亡与暴行,,,中国（万人坑）,“发现的万人坑地点数”,80,处,用户文本（引用1991白皮书）,“万人坑80+处；遗骨70万+具。”
特殊伤亡与暴行,,,中国（万人坑）,“发现的劳工遗骸（遗骨）数量”,70,“万具”,同上,70万具。
特殊伤亡与暴行,1940,1945,中国（20省）,“细菌战致死人数（不完全统计）”,27,“万人”,用户文本（引用1989档案汇编）,“27万+死亡，不完全；不含后续传播与饥荒等因素。”
特殊伤亡与暴行,1940,1948,“浙江衢州”,“细菌战疫情发病人数（累计）”,30,“万人”,用户文本（衢州疫情）,“发病30余万人。”
特殊伤亡与暴行,1940,1948,“浙江衢州”,“细菌战疫情死亡人数（累计）”,5,“万人”,用户文本,“死亡5万余人。”
特殊伤亡与暴行,1947,1947,“平房地区（原731相关区域）”,“鼠疫死亡（示例年份）”,3,“万人”,用户文本,“1947年鼠疫夺走3万+生命。”
特殊伤亡与暴行,,,“王爷庙/乌兰浩特一带”,“鼠疫死亡（示例）”,4,“万人”,用户文本,“死亡4万+。”
特殊伤亡与暴行,1941,1945,731部队,“人体实验人数/年（下限）”,400,“人/年”,用户文本（引用川岛清证词：哈巴罗夫斯克审判）,“范围400–600/年。”
特殊伤亡与暴行,1941,1945,731部队,“人体实验人数/年（上限）”,600,“人/年”,同上,
特殊伤亡与暴行,,,731部队,“活体解剖/实验致死估计（约）”,3000,人,用户文本（推算）,由400–600/年粗略推算的数量级估计。
特殊伤亡与暴行,,,中国（化学战）,“毒气攻击次数”,2091,次,用户文本,“涉及14省、77县（区）。”
特殊伤亡与暴行,,,华北游击队,“毒气攻击次数（子集）”,423,次,用户文本,
特殊伤亡与暴行,,,华北游击队,“化学战伤亡（子集）”,3.3,“万人”,用户文本,“3.3万余人伤亡。”
特殊伤亡与暴行,,,中国正规军,“化学战死亡（子集）”,6000,人,用户文本,
特殊伤亡与暴行,,,中国正规军,“化学战受伤（子集）”,41000,人,用户文本,“4.1万余人。”
特殊伤亡与暴行,,,中国（化学战）,“化学战总伤亡（下限）”,10,“万人”,用户文本,“用户文本：受害>10万人。”
特殊伤亡与暴行,,,中国（遗弃化武）,“发现遗弃化学炮弹（约）”,200,“万发”,用户文本,“约200万发。”
特殊伤亡与暴行,,,中国（遗弃化武）,“遗弃化武致伤亡”,2000,人,用户文本,
特殊伤亡与暴行,1931,1945,中国,“慰安妇被强征（下限）”,20,“万人”,用户文本,“20万以上。”
特殊伤亡与暴行,,,中国,“被强奸妇女估计（至少）”,100,“万人”,用户文本（引用吴天伟估计）,“至少100万人遭强奸。”
