battle,side,metric,value,unit,source
淞沪会战,国军战报,日军伤亡,160000,人,国军1937年战报（原文转述）
淞沪会战,孙元良估计,日军伤亡,145000,人,孙元良2005年估计14-15万（取中值）
淞沪会战,日军战报,日军死亡,160000,人,《中国事变陆军作战史》（原文转述）
淞沪会战,日军战报,日军负伤,31157,人,《中国事变陆军作战史》（原文转述）
太原会战,国军战报,日军毙伤,70000,人,国军战报（原文转述）
太原会战,日军战报,日军伤亡,66000,人,《中国事变陆军作战史》（原文转述）
南京保卫战,国军战报,日军毙伤,113000,人,国军战报（原文转述）
南京保卫战,日军战报,日军伤亡,106000,人,《中国事变陆军作战史》（原文转述）
徐州会战,国军战报,日军毙伤,150000,人,国军战报（原文转述）
徐州会战,日军战报,日军伤亡,132000,人,原文：1937年承认伤亡13.2万余人（转述）
武汉会战,国军战报,日军毙伤,250000,人,国军战报（原文转述）
武汉会战,日军战报,日军伤亡,230000,人,《中国事变陆军作战》（原文转述）
武汉会战,日军战报,因病减员,67000,人,《中国事变陆军作战》（原文转述）
随枣会战,国军战报,日军毙伤,140000,人,国军战报（原文转述）
随枣会战,日军战报,日军伤亡,130000,人,日本《支那事变陆军作战》（原文转述）
枣宜会战,国军战报,日军毙伤,73000,人,国军战报（原文转述）
枣宜会战,日军战报,日军伤亡,69000,人,日本《支那事变陆军作战》（原文转述）
南昌会战,国军战报,日军毙伤,64000,人,国军战报（原文转述）
南昌会战,日军战报,日军伤亡,59000,人,《支那事变陆军作战》（原文转述）
上高会战,国军战报,日军毙伤,44000,人,国军战报（原文转述）
上高会战,日军战报,日军伤亡,39000,人,《支那事变陆军作战》（原文转述）
上高会战,日军战报,病减员,6000,人,《支那事变陆军作战》（原文转述）
晋南（中条山）会战,国军战报,日军毙伤,39900,人,国军战报（原文转述）
晋南（中条山）会战,日军战报,日军战死,33670,人,《中国事变陆军作战》（原文转述）
晋南（中条山）会战,日军战报,日军负伤,2292,人,《中国事变陆军作战》（原文转述）
第二次长沙会战,国军战报,日军毙伤,60000,人,国军战报：6万余人（原文转述，未取7.4万）
第二次长沙会战,日军战报,日军伤亡,57000,人,《支那事变陆军作战》（原文转述）
第三次长沙会战,国军战报,日军毙伤,150000,人,国军战报（原文转述）
第三次长沙会战,日军战报,日军伤亡,146000,人,《支那事变陆军作战》（原文转述）
浙赣会战,国军战报,日军毙伤,80000,人,国军战报（原文转述）
浙赣会战,日军战报,日军伤亡,71714,人,《中国事变陆军作战》（原文转述）
鄂西会战,国军战报,日军毙伤,40000,人,国军战报（原文转述）
鄂西会战,日军战报,日军损失,34000,人,《中国事变陆军作战》（原文转述）
常德会战,国军战报,日军毙伤,60000,人,国军战报（原文转述）
常德会战,日军战报,日军损失,52800,人,《中国事变陆军作战》（原文转述）
豫中会战,国军战报,日军毙伤,14000,人,国军战报（原文转述）
豫中会战,日军战报,日军损失,13350,人,《中国事变陆军作战》（原文转述）
长衡会战,国军战报,日军毙伤,160000,人,国军战报（原文转述）
长衡会战,日军战报,日军损失,152000,人,《中国事变陆军作战》（原文转述）
桂柳会战,国军战报,日军毙伤,63000,人,国军战报（原文转述）
桂柳会战,日军战报,日军损失,56000,人,日本《战史丛书—大本营陆军部》（原文转述）
缅北会战,国军战报,日军毙伤,90000,人,国军战报（原文转述）
缅北会战,日军战报,日军伤亡,84000,人,《支那事变陆军作战》（原文转述）
