id,name,year,eighth_route_report,japanese_report,japanese_detail,source
1,平型关战斗,1937,歼灭日军1000余人,亡167、伤94,日军亡167人，伤94人,儿岛襄《日中战争》1984（原文转述）
2,广阳伏击战,1937?,歼日军千余人,伤亡63,日军伤亡63人,臼井胜美《中日战争》（原文转述）
3,晋察冀区反八路围攻,1937?,歼灭日伪军2000余人,日军亡17、伤52；皇协军伤亡69,日军亡17伤52；皇协军伤亡69,臼井胜美《中日战争》（原文转述）
4,三次破袭平汉路,1938?,歼灭日伪军1200余人,日军亡2、伤11,无皇协军伤亡报告,《支那事变陆军作战》（原文转述）
5,冀中1938年春季反“扫荡”,1938,歼灭日伪军1000余人,日军亡6、伤26；皇协军伤亡71,日军亡6伤26；皇协军伤亡71,《华北治安战》（原文转述）
6,120师收复晋西北七城战役,1938,歼灭日伪军1500余人,日军亡22、伤51；皇协军伤亡101,日军亡22伤51；皇协军伤亡101,《华北治安战》（原文转述）
7,易（县）涞（源）战斗,1938,歼日伪军1400余人,日军亡9、伤22；皇协军伤亡40,日军亡9伤22；皇协军伤亡40,《支那事变陆军作战》（原文转述）
8,129师晋东南反日军九路围攻,1938,歼日伪军4000余人,日军亡11、伤10；皇协军伤亡79,日军亡11伤10；皇协军伤亡79,《华北治安战》（原文转述）
9,晋察冀区1938年秋反围攻,1938,毙伤日伪军5000余人,日军亡39、伤132；皇协军伤亡107,日军亡39伤132；皇协军伤亡107,臼井胜美《中日战争》（原文转述）
10,冀中区五次反围攻,1938,歼日伪军5500余人,日军亡21、伤65；皇协军伤亡99,日军亡21伤65；皇协军伤亡99,臼井胜美《中日战争》（原文转述）
11,冀南1938年反“扫荡”,1938,毙俘日伪军600余人,日军亡3、伤11；皇协军伤亡16,日军亡3伤11；皇协军伤亡16,《华北治安战》（原文转述）
12,1939年冀南春季反十一“扫荡”,1939,歼日伪军3000余人,日军亡37、伤70；皇协军伤亡81,日军亡37伤70；皇协军伤亡81,臼井胜美《中日战争》（原文转述）
13,115师陆房突围,1939,毙伤日伪军1300余人,日军亡10、伤122；皇协军伤亡67,日军亡10伤122；皇协军伤亡67,《华北治安战》（原文转述）
14,五台山区1939年5月反围攻,1939,歼灭日军宫崎部队800余人,日军亡4、伤27,日军亡4伤27,《华北治安战》（原文转述）
15,太行区1939年夏季反“扫荡”,1939,歼日伪军2000余人,日军亡7、伤37；皇协军伤亡70,日军亡7伤37；皇协军伤亡70,《华北治安战》（原文转述）
16,冀中1939年冬季反“扫荡”,1939,歼日伪军2500余人,日军亡27、伤89；皇协军伤亡71,日军亡27伤89；皇协军伤亡71,《华北治安战》（原文转述）
17,北岳区1939年冬季反“扫荡”,1939,毙伤日伪军3600余人,日军亡9、伤34；皇协军伤亡95,日军亡9伤34；皇协军伤亡95,《华北治安战》（原文转述）
18,平西区1940年春季反“扫荡”,1940,歼灭日伪军800余人；击落飞机1架,日军亡8、伤40；皇协军伤亡22,日军亡8伤40；皇协军伤亡22,《华北治安战》（原文转述）
19,冀中1940年春季反全面“扫荡”作战,1940,毙伤日伪军3000余人,日军亡11、伤91；皇协军伤亡62,日军亡11伤91；皇协军伤亡62,《华北治安战》（原文转述）
20,抱犊崮山区反“扫荡”（鲁南区1940年反“扫荡”）,1940,毙伤日伪军2200余人,日军亡9、伤60；皇协军伤亡58,日军亡9伤60；皇协军伤亡58,《华北治安战》（原文转述）
21,129师白晋铁路破击战,1940,歼日伪军600余人,日军亡2、伤9；皇协军伤亡12,日军亡2伤9；皇协军伤亡12,《华北治安战》（原文转述）
22,晋西北1940年夏季反“扫荡”,1940,毙伤日伪军4490余人；俘53人（含日军11人）,日军亡37、伤107、失踪3；皇协军伤亡失踪201,日军亡37伤107失踪3；皇协军伤亡失踪201,《华北治安战》（原文转述）
23,冀中1940年夏季“青纱帐”战役,1940,毙伤日伪军2100余人；俘伪军500余人,日军亡19、伤22；皇协军伤亡39,日军亡19伤22；皇协军伤亡39,《华北治安战》（原文转述）
24,百团大战,1940,毙伤日军2万余人、伪军5000余人；俘日军280余人、伪军1.8万余人,日军亡302、伤1719；皇协军伤亡失踪1202,日军亡302伤1719；皇协军伤亡失踪1202,《华北治安战》（原文转述）
25,太行区1940年秋季反“扫荡”,1940,歼日伪军2800余人,日军亡29、伤60；皇协军伤亡44,日军亡29伤60；皇协军伤亡44,《华北治安战》（原文转述）
26,冀中1940年冬季攻势,1940,歼日伪军2300余人,日军亡10、伤27；皇协军伤亡59,日军亡10伤27；皇协军伤亡59,《华北治安战》（原文转述）
27,太岳1940年冬季反“扫荡”,1940,歼日伪军260余人,日军伤7；皇协军伤亡15,日军伤7；皇协军伤亡15,《华北治安战》（原文转述）
28,晋西北1940年冬季反“扫荡”,1940,毙伤日伪军2500余人,日军亡8、伤44；皇协军伤亡102,日军亡8伤44；皇协军伤亡102,《华北治安战》（原文转述）
