name,birth_year,death_year,posthumous_rank,position,birthplace,notes
佟麟阁,1892,1937,陆军上将,第29军中将副军长,河北高阳县,南苑、团河阻敌；二十八日晨腿部中弹头部炸伤殉国
赵登禹,1898,1937,陆军上将,第29军132师中将师长,山东荷泽县,大红门地区身中数弹殉国；喜峰口大刀队奇袭闻名
秦霖,1900,1937,陆军上将,第7军171师511旅少将旅长,广西桂林,蕴藻浜南岸阻敌；与敌肉搏殉国
郝梦麟,1898,1937,陆军上将,第9军中将军长,河北藁城县,忻口车站至南怀化镇一线阻敌；十月十六日凌晨中弹殉国
饶国华,1894,1937,陆军上将,第2军145师中将师长,四川资阳,浙江长兴阻敌；阵陷自戕殉国；焚广德机场
刘湘,1890,1938,一级上将,第七战区司令长官兼第23集团军二级上将总司令,四川大邑,淞沪后奉令守卫南京；1938-01-23因病于汉口殉国
王铭章,1893,1938,陆军上将,41军122师中将师长,四川新都,滕县巷战中腹部中弹自戕殉国
冯安邦,1885,1938,陆军上将,42军中将军长,山东无棣,转战鄂北襄樊、襄阳；1938-11-03遇敌机轰炸中弹殉国
陈安宝,1891,1939,陆军上将,29军中将军长,浙江黄岩,南昌阻敌；白刃格斗中机枪中弹殉国
张自忠,1891,1940,陆军上将,第33集团军中将加上将衔总司令,山东临清,湖北宜城阻敌；南瓜店肉搏殉国
唐淮源,1884,1941,陆军上将,第3军中将军长,云南江川,中条山背水苦战；弹尽援绝自戕殉国
李家钰,1890,1944,陆军上将,第36集团军中将总司令兼47军军长,四川蒲江,豫中会战后卫总指挥；陕县境内中伏头腹中弹殉国
张谞行,1905,1939,陆军上将,第一战区司令部中将副参谋长,浙江杭州,1939-03-07执行公务于西安遇敌轰炸窒息殉国
唐聚五,1892,1939,陆军上将,东北中将游击总司令,黑龙江双城,迁安县平台山击敌；负重伤殉国
蒋百里,1882,1938,陆军上将,代理陆军大学中将校长,浙江海宁,著名军事理论家；1938-11于广西宜山因病殉国
廖磊,1890,1939,陆军上将,第21集团军总司令兼安徽省主席,广西陆川,参加淞沪、徐州、武汉等；1939于安徽脑溢血殉国
陈季良,1883,1945,海军上将,海军总司令部中将参谋长,福建福州,负伤指挥江阴海空战；1945旧伤复发殉国
方振武,1887,1945,陆军上将,军事委员会中将参议,浙江黄岩,赴豫南鄂北战役前线督战；病重于西安殉国
陈训泳,1886,1944,海军上将,海军部中将常务次长,福建闽县,海军总司令部参谋长等；1944卒于任上
宋哲元,1885,1940,陆军上将,第29军军长,山东乐陵,曾获喜峰口大捷；1940辞职回四川疗养病逝
鄒洪,1897,1945,陆军上将,第35集团军中将副总司令,台湾芎林（原籍广东五华）,驰援长沙等；1945-04-16伤病殉国
