数据集,起始年,结束年,范围,指标,数值,单位,来源,备注
二战概览,1939,1945,世界,“战争相关死亡（约）”,7000,“万人”,用户文本（概览）,“约7000万。”
二战概览,1939,1945,世界,“军人死亡（约）”,1800,“万人”,用户文本,不含战俘死亡（按用户文本说明）。
二战概览,1939,1945,世界,“平民+战俘被屠杀（约）”,1800,“万人”,用户文本,“用户文本称80%+由纳粹德国造成。”
二战概览,1939,1945,世界,“战争相关死亡（区间下限）”,1500,“万人”,用户文本,“区间15–30百万（此处按‘万人’单位写为1500–3000）。”
二战概览,1939,1945,世界,“战争相关死亡（区间上限）”,3000,“万人”,用户文本,
二战概览,1941,1945,苏联,“总死亡（约）”,2660,“万人”,用户文本,“约2660万（26.6 million）。”
二战概览,1937,1945,中国,“死亡（约）”,1800,“万人”,用户文本,“死亡约1800万；死伤约3500万。”
苏军损失统计,1941,1945,苏联（苏军）,“总损失（死亡+受伤+被俘+失踪）”,2959.3,“万人”,用户文本,“2959.3万（29.593 million）。”
苏军损失统计,1941,1945,苏联（苏军）,“死亡”,681.7,“万人”,用户文本,“681.7万（6.817 million）。”
苏军损失统计,1941,1945,苏联（苏军）,“战俘或失踪”,445.6,“万人”,用户文本,“445.6万（4.456 million）。”
苏军损失统计,1941,1945,苏联（苏军）,“受伤+患病（累计人次）”,1832.0,“万人次”,用户文本,“1832万人次（18.32 million person-times）。”
