id,name,start,end,note,start_precision,end_precision
1,长城抗战,1933-01,1933-05,,month,month
2,热河抗战,1933-02,1933-02,,month,month
3,淞沪抗战（1932）,1932-01,1932-03,注意：与1937年淞沪会战不同,month,month
4,绥远抗战,1936-11,1936-12,,month,month
5,卢沟桥事变,1937-07,1937-07,,month,month
6,平津作战,1937-07,1937-07,,month,month
7,淞沪会战,1937-08,1937-11,,month,month
8,南口战役,1937-09,1937-09,,month,month
9,平型关战役,1937-09,1937-09,注：原文强调“没有所谓平型关大捷”并指国军为主力,month,month
10,忻口战役,1937-10,1937-10,,month,month
11,太原会战,1937-10,1937-11,,month,month
12,娘子关战役,1937-10,1937-11,,month,month
13,太原保卫战,1937-11,1937-11,,month,month
14,南京战役（南京保卫战）,1937-12,1937-12,,month,month
15,徐州会战,1938-02,1938-05,,month,month
16,台儿庄战役,1938-03,1938-04,,month,month
17,武汉会战,1938-08,1938-10,,month,month
18,广州战役,1938-10,1938-10,,month,month
19,南昌会战,1939-03,1939-04,,month,month
20,随枣会战,1939-05,1939-05,,month,month
21,第一次长沙会战,1939-09,1939-10,,month,month
22,桂南会战,1939-11,1940-02,,month,month
23,昆仑关战役,1939-12,1940-01,,month,month
24,枣宜会战,1940-05,1940-06,,month,month
25,上高会战,1941-03,1941-04,,month,month
26,晋南战役,1941-05,1941-06,,month,month
27,第二次长沙会战,1941-09,1941-10,,month,month
28,第三次长沙会战,1941-12,1942-01,,month,month
29,香港保卫战,1941-12,1941-12,,month,month
30,滇湎路战役,1942-03,1942-09,,month,month
31,鄂西会战,1943-05,1943-06,,month,month
32,常德会战,1943-11,1944-01,,month,month
33,豫湘桂会战,1944-04,1944-12,,month,month
34,豫中会战,1944-04,1944-04,,month,month
35,长沙会战（1944）,1944-05,1944-05,,month,month
36,衡阳保卫战,1944-06,1944-08,,month,month
37,桂柳会战,1944-08,1944-08,,month,month
38,缅北滇西战役,1943-10,1945-03,,month,month
39,密支那战役,1944-05,1944-08,,month,month
40,强渡怒江战役,1944-06,1944-07,,month,month
41,雪峰山会战,1945-04,1945-06,,month,month
42,桂柳反攻战役,1945-04,1945-08,,month,month
